nama;harga;lokasi;toko;rating;terjual
Lenovo LOQ Gaming i5-12450HX RTX3050 512GB SSD 12GB 144Hz IPS Win11;Rp12.799.000;Jakarta Barat;Sinarmulia Sukses Makmur;4.9;12 terjual
ASUS ROG STRIX G18 G814JU-I745J6G-O CORE i7-13650HX RTX4050 6GB 16GB;Rp24.146.000;Surabaya;ExpoComp;5.0;3 terjual
ASUS TUF GAMING F15 FX506LH I565B6T-CORE i5 10300H-8GB-512GB-GTX 1650;Rp7.268.000;Jakarta Pusat;MKNcell;5.0;3 terjual
ASUS ROG Zephyrus G14 2023 GA402XV R9 7940HS 32GB 1T RTX4060 8GB 14QHD;Rp22.599.000;Jakarta Utara;Top Tech;4.8;60+ terjual
"LENOVO Loq 15 gaming ARC A530M I5 12450HX 16/8GB 512GB w11 15"" 144hz";Rp11.049.000;Jakarta Utara;Intel Gaming ID;5.0;15 terjual
"ASUS TUF Gaming A15 FA507NV Ryzen 5-7535H RTX4060 512GB 15.6"" W11 OHS ";Rp16.199.000;Jakarta Pusat;Collins Official;5.0;5 terjual
ACER NITRO V 15 I5 13420H RTX2050 8GB 512GB SSD W11+OHS 15.6FHD 144HZ;Rp10.649.000;Jakarta Utara;AGRES ID;4.9;40+ terjual
Acer Nitro V 15 ANV15-51 542G i5-13420H 8GB 512SSD RTX2050 W11 OHS;Rp10.899.000;Palembang;MULTIKOM ID;5.0;1 terjual
ASUS TUF Gaming F15 FX507VU-I745K6M-O - Mecha Gray;Rp19.149.000;Dilayani Tokopedia;Asus Official Store;5.0;5 terjual
Lenovo LOQ Gaming i5-12450HX RTX3050 512GB SSD 12GB 144Hz IPS Win11;Rp12.999.000;Jakarta Barat;Lenovo Authorized Jakarta Barat;5.0;1 terjual
ASUS TUF Gaming A15 FA506NC Ryzen 5-7535HS RTX3050 512GB 144Hz W11 OHS;Rp11.599.000;Jakarta Pusat;Collins Official;5.0;30+ terjual
DELL ALIENWARE M16 R1 RTX4060 8GB | i7 13700HX 64GB 1TB W11 16.0QHD;Rp21.899.000;Jakarta Utara;Top Tech;5.0;5 terjual
